Sample,Genotype,Rep,Treatment ,D-toc,G-toc,A-toc,Total Tocopherol
1.2.1,WT,1,+UV-B,0.3,0.2,2.1,2.7
1.2.2,WT,2,+UV-B,0.9,0.5,2.7,4.1
1.2.3,WT,3,+UV-B,0.4,0.3,1.6,2.3
1.2.4,WT,4,+UV-B,0.2,0.4,1.8,2.4
1.3.1,WT,1,-UV-B,0.4,0.5,2,2.9
1.3.2,WT,2,-UV-B,0.3,0.2,1.4,1.9
1.3.3,WT,3,-UV-B,0.3,0.3,1.5,2.1
1.3.4,WT,4,-UV-B,0,0,1.3,1.3
2.2.1,vte1-2,1,+UV-B,0,0,0,0
2.2.2,vte1-2,2,+UV-B,0,0,0,0
2.2.3,vte1-2,3,+UV-B,0.2,0,0,0.2
2.2.4,vte1-2,4,+UV-B,0.4,0,0,0.4
2.3.1,vte1-2,1,-UV-B,0,0,0,0
2.3.2,vte1-2,2,-UV-B,0,0,0,0
2.3.3,vte1-2,3,-UV-B,0,0,0,0
2.3.4,vte1-2,4,-UV-B,0,0,0,0
